	ID_Ref	Genbank Acc	Description (Sigenae annotation)	Mean Males	StDev Males	Mean Females	StDev Females	Abs t value	df	Raw p value	Adj p value
Males	32451	AM863473	(sp:O94813) Slit homolog 2 protein OS=Homo sapiens GN=SLIT2 PE=1 SV=1	0.7834825	0.37216353	-0.5038313	0.34655485	8.769115	21.0	1.8334685E-8	5.844731E-4
	19477	AM863157	(sp:Q6PFY8) Tripartite motif-containing protein 45 OS=Mus musculus GN=Trim45 PE=2 SV=1	0.5659866	0.4075012	-0.93184334	0.50367934	8.00862	21.0	8.094282E-8	0.0025789193
	36481	AM858055	0	0.93470985	0.2757278	0.040600535	0.20592414	9.000141	20.0	1.8035829E-8	5.749642E-4
	8334	AM858495	0	0.53457445	0.44002914	-0.9761789	0.2875429	9.956085	18.0	9.5563975E-9	3.0470573E-4
	9871	CF369133	"(sp:Q25010) Actin, cytoplasmic A3a OS=Helicoverpa armigera GN=actA3a PE=2 SV=1"	2.1966383	0.34726354	0.91966623	0.28176573	9.891781	21.0	2.3432891E-9	7.4739204E-5
	21490	EF219426	hypothetical protein BRAFLDRAFT_118409 [Branchiostoma floridae]	2.0047092	0.53639805	0.4970481	0.40570644	7.7655315	20.0	1.8399805E-7	0.0058597857
	38965	EF219428	hypothetical protein BRAFLDRAFT_118409 [Branchiostoma floridae]	1.9785997	0.53495985	0.46849206	0.4295105	7.6250777	21.0	1.762253E-7	0.0056124236
	32629	EF219427	hypothetical protein BRAFLDRAFT_118409 [Branchiostoma floridae]	1.9565817	0.56388074	0.38821805	0.40824598	7.8042994	20.0	1.7053574E-7	0.0054313927
	33033	CF369228	hypothetical protein BRAFLDRAFT_125849 [Branchiostoma floridae]	1.9467043	0.5624707	0.39271435	0.4189212	7.675637	20.0	2.1961661E-7	0.006993471
Females	42167	CU993108	(sp:Q28GV1) Condensin-2 complex subunit H2 OS=Xenopus tropicalis GN=ncaph2 PE=2 SV=1	-1.2914873	0.26413363	-0.3381708	0.32394356	7.9008503	21.0	1.0052087E-7	0.0032024945
	18494	CU984349	0	0.7070022	0.12577064	1.1922207	0.17032355	7.938739	20.0	1.3123848E-7	0.004180339
	36539	AM857437	0	1.1929086	0.08702989	1.533081	0.12620698	7.6865873	19.0	3.0185745E-7	0.009611745
	7135	DV736924	0	-0.23161836	0.2847201	2.0091903	0.26807863	19.849367	21.0	4.440892E-15	1.4173551E-10
	16243	AM858268	0	-0.89383936	0.27814102	1.1655241	0.3442826	16.118114	21.0	2.6689762E-13	8.5177705E-9
	22942	DV736704	0	0.2511312	0.23065738	0.9162186	0.16113468	8.1883545	19.0	1.18413844E-7	0.0037721915
	4685	CU987956	(sp:P91753) Mitotic apparatus protein p62 OS=Lytechinus pictus PE=2 SV=1	1.1025761	0.27436414	2.4684987	0.19735299	14.000329	19.0	1.8398172E-11	5.870489E-7
	27136	FP089842	(sp:P91753) Mitotic apparatus protein p62 OS=Lytechinus pictus PE=2 SV=1	1.7254604	0.26544023	2.5357323	0.13774154	9.385918	16.0	6.58499E-8	0.0020983072
	28239	FP089873	0	1.575646	0.29093117	2.5351262	0.13791674	10.32326	15.0	3.2826065E-8	0.0010462651
	33459	AM237660	(sp:P91753) Mitotic apparatus protein p62 OS=Lytechinus pictus PE=2 SV=1	1.4436156	0.26412034	2.5353475	0.13788803	12.69308	16.0	9.082848E-10	2.8974284E-5
	7275	AM860211	(sp:Q6VFT5) Forkhead box protein L2 OS=Oryctolagus cuniculus GN=FOXL2 PE=4 SV=1	0.2162415	0.31863987	1.3300642	0.24605393	9.584073	20.0	6.4318515E-9	2.051053E-4
	14727	AM863513	0	0.33572105	0.26290897	1.3002931	0.24311706	9.331157	21.0	6.4195955E-9	2.047209E-4
	25292	FP004996	0	0.95670253	0.17877868	2.1816742	0.38863793	9.9194975	15.0	5.5569934E-8	0.0017709027
	37412	CU987512	0	0.5651358	0.1466535	2.3107114	0.41583377	13.713656	13.0	4.150597E-9	1.3236671E-4
	40277	FP010320	0	0.4116659	0.276804	1.6579599	0.2690605	11.1840105	21.0	2.638021E-10	8.416078E-6
	21407	CU991962	0	0.16035119	0.20348242	0.8090925	0.14098868	9.07805	19.0	2.4411666E-8	7.781219E-4
	42105	AM868529	0	0.0727861	0.21901496	0.75153416	0.1527556	8.805396	19.0	3.918838E-8	0.001249012
	15368	EW779053	(sp:Q80TB7) Zinc finger SWIM domain-containing protein 6 (Fragment) OS=Mus musculus GN=Zswim6 PE=2 SV=2	0.68098754	0.08133684	0.9197177	0.05681604	8.335234	19.0	9.0606505E-8	0.0028867233
	17890	CK172347	0	1.664951	0.07685032	1.8834296	0.04720317	8.391598	18.0	1.2326755E-7	0.003926688
	1313	AM864323	0	-0.2637138	0.08847732	0.19141228	0.15062729	9.025115	17.0	6.811068E-8	0.0021702787
	37647	CU998657	0	0.05686568	0.19330545	0.8533444	0.2733734	8.24066	19.0	1.07613644E-7	0.0034283556
	43030	AM860516	0	0.43892935	0.07857969	0.81721085	0.09512972	10.620261	21.0	6.6856143E-10	2.1327778E-5
	41775	AM856136	(sp:P47727) Carbonyl reductase [NADPH] 1 OS=Rattus norvegicus GN=Cbr1 PE=1 SV=2	1.1699675	0.096248224	1.5424255	0.12327277	8.249746	20.0	7.226098E-8	0.0023023793
	34699	AM866105	0	-0.43173409	0.5659766	1.5040797	0.70178205	7.4379797	21.0	2.594226E-7	0.008260794
	15871	AM857623	0	0.160383	0.2762706	1.1874331	0.29096514	8.867231	21.0	1.5221412E-8	4.8528906E-4
	43	AM857422	hypothetical protein BRAFLDRAFT_127145 [Branchiostoma floridae]	-0.78428334	0.12131013	-0.009902847	0.25763968	9.419974	15.0	1.09034545E-7	0.0034735135
	37623	CU991832	PREDICTED: hypothetical protein [Strongylocentrotus purpuratus]	0.510161	0.31586182	1.5762547	0.27237293	8.854553	21.0	1.5590778E-8	4.9703405E-4
	28569	AM864378	0	0.3405038	0.4238764	2.0147436	0.53008646	8.545091	20.0	4.1486537E-8	0.0013222174
	1567	DV736337	(sp:A3KPQ7) Transmembrane protein 2 OS=Danio rerio GN=tmem2 PE=3 SV=1	0.27059105	0.40337425	1.9182116	0.47754282	9.1304865	21.0	9.29492E-9	2.9638715E-4
	2520	CU990395	(sp:Q9UHN6) Transmembrane protein 2 OS=Homo sapiens GN=TMEM2 PE=1 SV=1	-0.05017759	0.4056267	1.5601702	0.4813424	8.862171	21.0	1.5367737E-8	4.8993883E-4
	3852	BQ426946	(sp:P60755) MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Mus musculus GN=Mdga2 PE=2 SV=1	0.5674632	0.3265703	2.2500536	0.4718553	10.1572485	19.0	4.0909747E-9	1.3046936E-4
